Type,No.,Standard Price Including VAT,Offer Price Including VAT
Item,11-647,35.00,10.00
Item,22-3216,185.00,99.00
Item,26-1287,820.00,595.00
Item,11-648,40.00,8.00
Item,7-1343,138.00,79.00
Item,26-1341,650.00,495.00
Item,11-649,97.00,43.00
Item,7-1447,118.00,59.00
Item,26-1227,"2,750.00","1,975.00"
Item,1-165,"1,465.00","1,245.00"
Item,11-713,48.00,39.00
Item,26-839,"1,173.00","1,095.00"
Item,11-650,23.00,5.00
Item,11-719,75.00,39.00
Item,11-651,40.00,8.00
Item,11-761,145.00,79.00
Item,26-1220,480.00,399.00
Item,11-652,95.00,47.00
Item,22-3005,36.00,24.00
Item,26-1344,"6,995.00","4,999.00"
Item,11-655,168.00,95.00
Item,NT-NE20247,155.00,69.00
Item,26-241,"1,782.00","1,495.00"
Item,11-656,58.00,20.00
Item,18-909,295.00,99.00
Item,11-657,21.00,5.00
Item,18-911,315.00,99.00
Item,26-1367,"1,800.00","1,560.00"
Item,11-661,360.00,252.00
Item,22-2734,530.00,299.00
Item,11-664,129.00,27.00
Item,22-2735,530.00,299.00
Item,26-274,392.00,375.00
Item,11-665,105.00,22.00
Item,22-2736,530.00,299.00
Item,26-1223,"2,250.00","1,995.00"
Item,11-667,48.00,14.00
Item,22-3852,239.00,139.00
Item,26-1080,"1,550.00",895.00
Item,11-668,110.00,50.00
Item,22-3903,365.00,299.00
Item,26-1396,"1,195.00",895.00
Item,11-669,75.00,19.00
Item,22-2104,446.00,299.00
Item,26-1558,483.00,395.00
Item,1-167,"1,022.00",599.00
Item,22-3676,485.00,338.00
Item,26-1374,"2,050.00","1,695.00"
Item,11-671,39.00,12.00
Item,22-3677,585.00,385.00
Item,26-1502,545.00,445.00
Item,11-672,24.00,6.00
Item,22-3678,685.00,435.00
Item,26-1165,325.00,195.00
Item,11-673,44.00,13.00
Item,22-3680,585.00,385.00
Item,26-1317,"4,450.00","2,995.00"
Item,11-674,44.00,13.00
Item,22-3681,685.00,435.00
Item,26-1284,"4,995.00","2,995.00"
Item,11-675,44.00,12.00
Item,22-3682,485.00,338.00
Item,26-911,240.00,50.00
Item,11-676,114.00,24.00
Item,22-3683,585.00,385.00
Item,26-823,665.00,233.00
Item,11-678,395.00,138.00
Item,22-4138,108.00,69.00
Item,11-680,"1,700.00",595.00
Item,22-4139,108.00,69.00
Item,26-1001,385.00,104.00
Item,11-682,120.00,60.00
Item,22-4140,108.00,69.00
Item,26-710,395.00,83.00
Item,11-683,128.00,45.00
Item,22-4037,468.00,299.00
Item,26-1222,695.00,595.00
Item,11-684,125.00,43.00
Item,22-3902,26.00,19.00
Item,26-150,460.00,195.00
Item,11-686,27.00,8.00
Item,LS-TS13,182.00,99.00
Item,26-1337,795.00,495.00
Item,11-689,447.00,94.00
Item,LS-TS15,182.00,99.00
Item,26-1280,950.00,695.00
Item,11-690,117.00,35.00
Item,22-2264,30.00,19.00
Item,26-1212,"1,680.00","1,295.00"
Item,11-691,195.00,59.00
Item,22-3617,35.00,19.00
Item,26-1213,"1,650.00","1,095.00"
Item,18-955,"2,900.00","1,590.00"
Item,26-23,"2,300.00","1,095.00"
Item,11-694,190.00,67.00
Item,22-3848,134.00,89.00
Item,26-1135,"2,135.00","1,295.00"
Item,11-695,99.00,39.00
Item,22-1884,19.00,12.00
Item,26-1524,"1,295.00",995.00
Item,11-699,365.00,164.00
Item,22-2209,65.00,29.00
Item,26-1525,"1,095.00",995.00
Item,1-170,575.00,201.00
Item,22-3440,41.00,15.00
Item,26-808,680.00,595.00
Item,11-704,136.00,39.00
Item,22-3918,485.00,385.00
Item,26-767,525.00,399.00
Item,11-705,188.00,99.00
Item,22-3919,574.00,395.00
Item,26-492,525.00,399.00
Item,11-707,95.00,47.00
Item,18-709,45.00,19.00
Item,26-580,590.00,395.00
Item,1-171,145.00,50.00
Item,18-946,148.00,69.00
Item,26-620,545.00,495.00
