SKU,Part#,DESC EN,img links
11-508,31111000000417,2700L 42W LED LIGHT WITH MEGNETIC TASE 3M+ 1M WIRE,https://alrimaya.com/image/catalog/product-11-12-13-14/11-508%20(4)%20%D9%83%D8%B4%D8%A7%D9%81%20%D9%84%D9%8A%D8%AF%20%D9%83%D8%B1%D9%8A.png
11-510,31111000000419,"180W CURVED LIGHT BAR, COMBO BEAM",https://alrimaya.com/image/catalog/product-11-12-13-14/11-510%20(4)%20%D9%84%D9%8A%D8%AF%20%D8%A8%D8%A7%D8%B1.png
11-511,31111000000420,216W LIGHT BAR,https://alrimaya.com/image/catalog/product-11-12-13-14/11-511%20(3)%20%D9%84%D9%8A%D8%AF%20%D8%A8%D8%A7%D8%B1.png
11-513,31111000000422,35W HID HANDHELD SPOTLIGHT WITH 12VCIGAR PLUG,https://alrimaya.com/image/catalog/product-11-12-13-14/1.png
11-514,31111000000423,51W DC 12V HML-1040,https://alrimaya.com/image/catalog/product-11-12-13-14/11-514%20(5).png
11-515,31111000000424,10W DC 12V HML-1039,https://alrimaya.com/image/catalog/product-11-12-13-14/11-515%20(2).png
11-516,31111000000425,RECHARGEABLE LED LIGHT 6400K AC/DC  50/60HZ 10W,https://alrimaya.com/image/catalog/product/2519/11-516-min-2519-thumb.jpg
11-517,31111000000426,RECHARGEABLE LED LIGHT 6400K AC/DC  50/60HZ 10W,https://i.ibb.co/MsKdnP7/11-517-Large.jpg
11-518,31111000000427,LIGHT 10W,https://alrimaya.com/image/catalog/product-11-12-13-14/11-518%20(2).png
11-519,31111000000428,LIGHT 5W,https://alrimaya.com/image/catalog/product-11-12-13-14/11-519%20(2).png
11-520,31111000000429,LIGHT 8W,https://alrimaya.com/image/catalog/product-11-12-13-14/11-520%20(1).png
11-521,31111000000430,LIGHT 220V 3U 2700K 23W,https://alrimaya.com/image/catalog/product/2520/11-521%20(3)-min-2520-thumb.jpg
11-522,31111000000431,HEAD LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-522%20(2).png
11-524,31111000000433,TORCH LIGHT-T6,https://alrimaya.com/image/catalog/product-11-12-13-14/11-524%20(3).png
11-525,31111000000434,FLASH LIGHT,https://i.ibb.co/tMZNHgT/Whats-App-Image-2023-03-11-at-5-46-41-PM.jpg
